# Order
title,price,discprice,discount,fprice

# less then 2$
moto RKD dash SP, 3.29, 2.30, 30%, 2.30
Flipon, 4.65, 2.32, 50%, 2.32
LUL inc., 5.99, 2.39, 60%, 2.39
To the Moon, 10.99, 2.52, 77%, 2.52
Interplanetary: Enhanced Edition, 16.99, 2.54, 85%, 2.54
Gods Will Be Watching, 12.99, 2.59, 80%, 2.59
Heavy Bullets, 12.99, 2.59, 80%, 2.59
SATAZIUS, 6.49, 2.59, 60%, 2.59
Shadow Warrior Classic Redux, 12.99, 2.59, 80%, 2.59
BUTCHER - Game + Extended Soundtrack, 16.48, 2.62, 84%, 2.62
Nihilumbra, 8.79, 2.63, 70%, 2.63
The POSTAL Package: Curated Classics, 27.47, 2.64, 90%, 2.64
Ostalgie: The Berlin Wall, 6.69, 2.67, 60%, 2.67
Circle Empires, 8.99, 2.69, 70%, 2.69
And Yet It Moves, 10.99, 2.74, 75%, 2.74
Catlateral Damage, 10.99, 2.74, 75%, 2.74
Cosmic Express, 10.99, 2.74, 75%, 2.74
Costume Quest, 10.99, 2.74, 75%, 2.74
Din's Curse, 10.99, 2.74, 75%, 2.74
Downward, 10.99, 2.74, 75%, 2.74
FTL: Faster Than Light, 10.99, 2.74, 75%, 2.74
Knights of Pen and Paper +1 Edition, 10.99, 2.74, 75%, 2.74
PAC-MAN 256, 5.49, 2.74, 50%, 2.74
Pajama Sam's Lost & Found, 5.49, 2.74, 50%, 2.74
Psychonauts, 10.99, 2.74, 75%, 2.74
Punch Club, 10.99, 2.74, 75%, 2.74
Putt-Putt® and Pep's Dog on a Stick, 5.49, 2.74, 50%, 2.74
Stacking, 10.99, 2.74, 75%, 2.74
Sunrider Academy, 10.99, 2.74, 75%, 2.74
Super Chibi Knight, 5.49, 2.74, 50%, 2.74
Surgeon Simulator, 10.99, 2.74, 75%, 2.74
The Last Door - Collector's Edition, 10.99, 2.74, 75%, 2.74
VVVVVV, 5.49, 2.74, 50%, 2.74
You Must Build A Boat, 5.49, 2.74, 50%, 2.74
Halfway, 13.99, 2.79, 80%, 2.79
Upload Simulator, 4.65, 2.79, 40%, 2.79
ComPressure, 5.69, 2.84, 50%, 2.84
Dungeons of Dredmor, 5.69, 2.84, 50%, 2.84
Rejoinder, 5.69, 2.84, 50%, 2.84
Weird Worlds: Return to Infinite Space, 5.69, 2.84, 50%, 2.84
AI War: Fleet Command, 11.49, 2.87, 75%, 2.87
Don't Starve, 11.49, 2.87, 75%, 2.87
Lovely Planet 2: April Skies, 11.49, 2.87, 75%, 2.87
Sakura MMO 3, 11.49, 2.87, 75%, 2.87
The Hex, 11.49, 2.87, 75%, 2.87
Hiveswap Friendsim, 14.49, 2.89, 80%, 2.89

# less then 4$
Two Tribes Premium Pack, 33.98, 3.00, 91%, 3.00
Where The Water Tastes Like Wine - Wayfarer Edition, 33.48, 3.00, 91%, 3.00
Helheim Hassle + Soundtrack, 28.48, 3.06, 89%, 3.06
Big Thinkers 1st Grade, 7.79, 3.11, 60%, 3.11
Draw & Guess, 3.99, 3.19, 20%, 3.19
To The Moon Game and Soundtrack Bundle, 13.99, 3.21, 77%, 3.21
Hero of the Kingdom, 6.49, 3.24, 50%, 3.24
Higurashi When They Cry Hou - Ch.4 Himatsubushi, 6.49, 3.24, 50%, 3.24
Avadon: The Black Fortress, 10.99, 3.29, 70%, 3.29
Hard West, 21.99, 3.29, 85%, 3.29
Hyperdrive Massacre, 10.99, 3.29, 70%, 3.29
Hyperspace Pinball, 3.29,0, 0%, 3.29
Last Dream, 10.99, 3.29, 70%, 3.29
Megamagic: Wizards of the Neon Age, 10.99, 3.29, 70%, 3.29
Sakura Spirit, 10.99, 3.29, 70%, 3.29
Toast Time, 5.49, 3.29, 40%, 3.29
Worms Reloaded, 21.99, 3.29, 85%, 3.29
Roma Invicta, 6.69, 3.34, 50%, 3.34
On A Roll 3D, 4.49, 3.36, 25%, 3.36
Cargo Commander, 3.39,0, 0%, 3.39
Crypt of the NecroDancer, 16.99, 3.39, 80%, 3.39
Curious Expedition, 16.99, 3.39, 80%, 3.39
Dave Dave Dave, 3.39,0, 0%, 3.39
Hue, 16.99, 3.39, 80%, 3.39
Increlution, 3.39,0, 0%, 3.39
Monaco: What's Yours Is Mine, 16.99, 3.39, 80%, 3.39
OlliOlli2: Welcome to Olliwood, 16.99, 3.39, 80%, 3.39
Sophie's Safecracking Simulator, 3.39,0, 0%, 3.39
TowerFall Ascension, 16.99, 3.39, 80%, 3.39
Deep Sky Derelicts, 22.79, 3.41, 85%, 3.41
Outlast, 22.79, 3.41, 85%, 3.41
Vampire: The Masquerade - Coteries of New York, 22.79, 3.41, 85%, 3.41
Orwell: Ignorance is Strength, 11.49, 3.44, 70%, 3.44
Party Hard, 11.49, 3.44, 70%, 3.44
Bastion, 17.49, 3.49, 80%, 3.49
Bite the Bullet, 17.49, 3.49, 80%, 3.49
Creeper World 3: Arc Eternal, 17.49, 3.49, 80%, 3.49
Particle Fleet: Emergence, 17.49, 3.49, 80%, 3.49
Teleglitch: Die More Edition, 13.99, 3.49, 75%, 3.49
Interrogation: You will be deceived, 14.49, 3.62, 75%, 3.62
Sparkle 3 Genesis, 5.49, 3.67, 33%, 3.67
The Dolls: Reborn, 5.49, 3.67, 33%, 3.67
Turmoil, 10.99, 3.73, 66%, 3.73
Interrogation: You will be deceived - Digital Collector's Edition, 17.88, 3.79, 78%, 3.79
Kairo, 6.49, 3.82, 41%, 3.82
Raptor Boyfriend: A High School Romance, 15.49, 3.87, 75%, 3.87
Broforce, 19.49, 3.89, 80%, 3.89
Crossing Souls, 19.49, 3.89, 80%, 3.89
Do Not Feed the Monkeys, 12.99, 3.89, 70%, 3.89
Fatty Bear's Birthday Surprise, 7.79, 3.89, 50%, 3.89
Serious Sam 3: BFE, 38.99, 3.89, 90%, 3.89
Snakebird, 7.79, 3.89, 50%, 3.89
Tales of Maj'Eyal, 7.79, 3.89, 50%, 3.89
War Brokers, 6.49, 3.89, 40%, 3.89
The City Must Grow, 5.69, 3.98, 30%, 3.98
Collapse: A Political Simulator, 7.99, 3.99, 50%, 3.99

# less then 5$
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™, 11.49, 4.02, 65%, 4.02
MXGP3 - The Official Motocross Videogame, 26.99, 4.04, 85%, 4.04
In The Shadows, 20.79, 4.15, 80%, 4.15
Darkest Dungeon®, 27.99, 4.19, 85%, 4.19
Audiosurf 2, 16.99, 4.24, 75%, 4.24
Balrum, 16.99, 4.24, 75%, 4.24
Clustertruck, 16.99, 4.24, 75%, 4.24
Convoy, 16.99, 4.24, 75%, 4.24
Crea, 16.99, 4.24, 75%, 4.24
FORCED: Slightly Better Edition, 16.99, 4.24, 75%, 4.24
Full Throttle Remastered, 16.99, 4.24, 75%, 4.24
Ice Lakes, 16.99, 4.24, 75%, 4.24
