# Order
title,price,discprice,discount,fprice

# less then 2$
This Is the President, 14.99, 8.99, 40%, 8.99

# less then 10$
Bean and Nothingness, 13.49, 9.03, 33%, 9.03
Templar Battleforce, 12.99, 9.09, 30%, 9.09
Commandos 2 - HD Remaster, 22.79, 9.11, 60%, 9.11
Graveyard Keeper, 22.79, 9.11, 60%, 9.11
Pathfinder: Kingmaker - Enhanced Plus Edition, 22.79, 9.11, 60%, 9.11
Sudden Strike 4, 22.79, 9.11, 60%, 9.11
The Pedestrian, 22.79, 9.11, 60%, 9.11
Sudden Strike 4 - Starter Bundle, 29.77, 9.15, 69%, 9.15
Descent, 11.49, 9.19, 20%, 9.19
Tandem: A Tale of Shadows + OST, 20.68, 9.30, 55%, 9.30
Robotality Bundle, 32.98, 9.34, 71%, 9.34
Knights of Pen and Paper 1 & 2 Collection, 30.76, 9.38, 69%, 9.38
Reigns Trilogy, 27.82, 9.41, 66%, 9.41
Steel Assault, 18.99, 9.49, 50%, 9.49
